config,kernel_nb,kernel_ns,k_nb,k_ns,k_all,total_filters,dropout,n_params,accuracy,balanced_acc,macro_f1,best_epoch,elapsed_s
knb7_kns5_f32-32-16_do0.3,7,5,32,32,16,80,0.3,2580292,0.8155161881490531,0.8027463140269746,0.7719373982161085,20,78.4
knb7_kns5_f32-32-16_do0.4,7,5,32,32,16,80,0.4,2580292,0.8130726939523518,0.7965821928619592,0.7582789199280908,25,175.9
knb7_kns5_f48-48-32_do0.3,7,5,48,48,32,128,0.3,2613652,0.8301771533292609,0.8228041103175219,0.7873634217969667,25,113.0
knb7_kns5_f48-48-32_do0.4,7,5,48,48,32,128,0.4,2613652,0.83811850946854,0.8237701846730846,0.7949745869472734,36,160.2
knb7_kns5_f64-64-32_do0.3,7,5,64,64,32,160,0.3,2635396,0.8448381185094685,0.8389443552879013,0.7958641797080421,31,158.1
knb7_kns5_f64-64-32_do0.4,7,5,64,64,32,160,0.4,2635396,0.8277336591325596,0.8154728954396644,0.7848893063835994,23,123.0
knb7_kns5_f96-96-48_do0.3,7,5,96,96,48,240,0.3,2690500,0.8417837507635919,0.8402767654902338,0.7990073701782446,24,166.5
knb7_kns5_f96-96-48_do0.4,7,5,96,96,48,240,0.4,2690500,0.8368967623701894,0.8233370994413226,0.7880092810770655,23,161.1
knb7_kns7_f32-32-16_do0.3,7,7,32,32,16,80,0.3,2580804,0.8478924862553452,0.8424095793071742,0.8083767352847951,29,104.0
knb7_kns7_f32-32-16_do0.4,7,7,32,32,16,80,0.4,2580804,0.8216249236408063,0.8152356577888573,0.7724660326862786,22,86.1
knb7_kns7_f48-48-32_do0.3,7,7,48,48,32,128,0.3,2614420,0.8265119120342089,0.8351412812228538,0.7823248979041165,26,121.0
knb7_kns7_f48-48-32_do0.4,7,7,48,48,32,128,0.4,2614420,0.8491142333536957,0.8377355788466568,0.8070763000316242,28,122.5
knb7_kns7_f64-64-32_do0.3,7,7,64,64,32,160,0.3,2636420,0.822846670739157,0.8010565190511841,0.7735185809378726,20,111.7
knb7_kns7_f64-64-32_do0.4,7,7,64,64,32,160,0.4,2636420,0.8411728772144166,0.8232762336549628,0.7976905631386907,31,152.4
knb7_kns7_f96-96-48_do0.3,7,7,96,96,48,240,0.3,2692036,0.8265119120342089,0.8251074015200919,0.7787446817061124,20,147.3
knb7_kns7_f96-96-48_do0.4,7,7,96,96,48,240,0.4,2692036,0.8185705558949298,0.8128036136057029,0.7735849105276054,21,156.6
knb7_kns15_f32-32-16_do0.3,7,15,32,32,16,80,0.3,2582852,0.8100183262064753,0.8019704905955762,0.7696982723887142,28,109.0
knb7_kns15_f32-32-16_do0.4,7,15,32,32,16,80,0.4,2582852,0.8026878436163715,0.8083973793057184,0.7590492782784567,22,86.7
knb7_kns15_f48-48-32_do0.3,7,15,48,48,32,128,0.3,2617492,0.8240684178375076,0.8344705290339809,0.7837869616142827,20,100.0
knb7_kns15_f48-48-32_do0.4,7,15,48,48,32,128,0.4,2617492,0.8307880268784361,0.8138115189552468,0.776750906981693,30,134.6
knb7_kns15_f64-64-32_do0.3,7,15,64,64,32,160,0.3,2640516,0.8136835675015271,0.8111886289415124,0.7659859619187019,19,112.0
knb7_kns15_f64-64-32_do0.4,7,15,64,64,32,160,0.4,2640516,0.8423946243127672,0.8291122259433588,0.7984747875297649,31,158.1
knb7_kns15_f96-96-48_do0.3,7,15,96,96,48,240,0.3,2698180,0.8338423946243128,0.8157098013370179,0.7908813334226568,24,167.3
knb7_kns15_f96-96-48_do0.4,7,15,96,96,48,240,0.4,2698180,0.8368967623701894,0.8261004895322244,0.7882196844766745,26,179.9
knb15_kns5_f32-32-16_do0.3,15,5,32,32,16,80,0.3,2581572,0.8185705558949298,0.812584955807991,0.7751085734476367,24,91.9
knb15_kns5_f32-32-16_do0.4,15,5,32,32,16,80,0.4,2581572,0.8301771533292609,0.8262871723087649,0.7855224632163527,31,112.6
knb15_kns5_f48-48-32_do0.3,15,5,48,48,32,128,0.3,2615572,0.8368967623701894,0.8370547460736861,0.7976338341696392,25,113.8
knb15_kns5_f48-48-32_do0.4,15,5,48,48,32,128,0.4,2615572,0.8106291997556506,0.8048462479232456,0.7626084750387172,29,130.1
knb15_kns5_f64-64-32_do0.3,15,5,64,64,32,160,0.3,2637956,0.8204031765424558,0.8142763911100572,0.7802952456626329,22,124.1
knb15_kns5_f64-64-32_do0.4,15,5,64,64,32,160,0.4,2637956,0.8136835675015271,0.8111328425421055,0.7663223770689758,26,143.4
knb15_kns5_f96-96-48_do0.3,15,5,96,96,48,240,0.3,2694340,0.8405620036652413,0.8291588475383517,0.7967040173822195,29,200.5
knb15_kns5_f96-96-48_do0.4,15,5,96,96,48,240,0.4,2694340,0.8344532681734881,0.8202086184550494,0.7867745679278646,27,184.4
knb15_kns7_f32-32-16_do0.3,15,7,32,32,16,80,0.3,2582084,0.8283445326817349,0.820401813668064,0.7788107682980374,27,100.3
knb15_kns7_f32-32-16_do0.4,15,7,32,32,16,80,0.4,2582084,0.7898594990836897,0.7808450718585431,0.7385263608644506,28,105.6
knb15_kns7_f48-48-32_do0.3,15,7,48,48,32,128,0.3,2616340,0.8155161881490531,0.806631749805609,0.7714293566445664,24,113.4
knb15_kns7_f48-48-32_do0.4,15,7,48,48,32,128,0.4,2616340,0.8167379352474038,0.8228229763748197,0.7788884530203433,27,124.1
knb15_kns7_f64-64-32_do0.3,15,7,64,64,32,160,0.3,2638980,0.7825290164935859,0.7955536206922074,0.736589537005989,22,118.2
knb15_kns7_f64-64-32_do0.4,15,7,64,64,32,160,0.4,2638980,0.8197923029932804,0.8264350467543923,0.7750715474993845,23,108.6
knb15_kns7_f96-96-48_do0.3,15,7,96,96,48,240,0.3,2695876,0.8136835675015271,0.7962899922020567,0.7589766985295363,24,151.7
knb15_kns7_f96-96-48_do0.4,15,7,96,96,48,240,0.4,2695876,0.8161270616982285,0.81810074737123,0.7700356887207891,22,142.2
knb15_kns15_f32-32-16_do0.3,15,15,32,32,16,80,0.3,2584132,0.803909590714722,0.7953683453322085,0.7527892422903146,30,113.4
knb15_kns15_f32-32-16_do0.4,15,15,32,32,16,80,0.4,2584132,0.8063530849114233,0.802178399138805,0.7636515870746288,29,110.9
knb15_kns15_f48-48-32_do0.3,15,15,48,48,32,128,0.3,2619412,0.822846670739157,0.8098366332987678,0.7730804623755471,22,108.7
knb15_kns15_f48-48-32_do0.4,15,15,48,48,32,128,0.4,2619412,0.8197923029932804,0.8134862419781056,0.7717444671627262,31,140.2
knb15_kns15_f64-64-32_do0.3,15,15,64,64,32,160,0.3,2643076,0.8167379352474038,0.8076568436353702,0.7690418035163602,22,129.2
knb15_kns15_f64-64-32_do0.4,15,15,64,64,32,160,0.4,2643076,0.8326206475259621,0.8260643110712403,0.7903906483135119,25,137.3
knb15_kns15_f96-96-48_do0.3,15,15,96,96,48,240,0.3,2702020,0.7996334758704948,0.7964876237646183,0.744923451100427,24,162.6
knb15_kns15_f96-96-48_do0.4,15,15,96,96,48,240,0.4,2702020,0.7861942577886377,0.7953995707270378,0.7380183753853474,21,139.9
knb31_kns5_f32-32-16_do0.3,31,5,32,32,16,80,0.3,2584132,0.8069639584605987,0.7947597289608436,0.7608395924259289,23,90.0
knb31_kns5_f32-32-16_do0.4,31,5,32,32,16,80,0.4,2584132,0.8008552229688455,0.8060959170807769,0.7542286263978115,23,91.5
